title,release_date,target_audience,length,rating,synopsis,genres,staring,original_language,original_country,original_title
Mademoiselle,"November 1, 2016 (France)",12,2h 25m,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller","Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Moon So-ri,Kim Tae-ri,Yong-nyeo Lee,Min-chae Yoo,Dong-hwi Lee,Kim Hae-sook,Kyu-jung Lee,Si-eun Kim,Si-yeon Ha,Rina Takagi,Geun-hee Won,Jong-Dae Kim,Han-sun Jang,Eun-yeong Kim,Ri-woo Kim",Korean,South Korea,Original title: Ah-ga-ssi
Harry Potter et les Reliques de la Mort 2ème partie,"July 13, 2011 (France)",Tous publics,2h 10m,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure,Fantasy,Mystery","Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,Ralph Fiennes,Alan Rickman,Evanna Lynch,Domhnall Gleeson,Clémence Poésy,Warwick Davis,John Hurt,Helena Bonham Carter,Graham Duff,Anthony Allgood,Rusty Goffe,Jon Key,Kelly Macdonald,Jason Isaacs",English,United Kingdom,Original title: Harry Potter and the Deathly Hallows: Part 2
Mad Max: Fury Road,"May 14, 2015 (France)",Tous publics avec avertissement,2h,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action,Adventure,Sci-Fi","Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,Hugh Keays-Byrne,Josh Helman,Nathan Jones,Rosie Huntington-Whiteley,Riley Keough,Abbey Lee,Courtney Eaton,John Howard,Richard Carter,Iota,Angus Sampson,Jennifer Hagan,Megan Gale,Melissa Jaffer",English,Australia,
Ben-Hur,"October 7, 1960 (France)",Tous publics,3h 32m,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure,Drama,History","Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,Hugh Griffith,Martha Scott,Cathy O'Donnell,Sam Jaffe,Finlay Currie,Frank Thring,Terence Longdon,George Relph,André Morell,Fortunato Arena,Bruno Ariè,Les Ballets Africains,Emma Baron,Ady Berber",English,United States,
Dragons,"March 31, 2010 (France)",Tous publics,1h 38m,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation,Action,Adventure","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,America Ferrera,Jonah Hill,T.J. Miller,Kristen Wiig,Robin Atkin Downes,Philip McGrade,Kieron Elliott,Ashley Jensen,David Tennant",English,United States,Original title: How to Train Your Dragon
Le Cercle des poètes disparus,"January 17, 1990 (France)",Tous publics,2h 8m,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy,Drama","Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Gale Hansen,Dylan Kussman,Allelon Ruggiero,James Waterston,Norman Lloyd,Kurtwood Smith,Carla Belver,Leon Pownall,George Martin,Joe Aufiery,Matt Carey,Kevin Cooney,Jane Moore,Lara Flynn Boyle",English,United States,Original title: Dead Poets Society
Sonate d'automne,"October 11, 1978 (France)",Tous publics,1h 39m,8.2,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.","Drama,Music","Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,Marianne Aminoff,Arne Bang-Hansen,Gunnar Björnstrand,Erland Josephson,Georg Løkkeberg,Mimi Pollak,Linn Ullmann,Eva von Hanno,Knut Wigert",Swedish,West Germany,Original title: Höstsonaten
The Big Lebowski,"April 22, 1998 (France)",Tous publics,1h 57m,8.1,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Comedy,Crime,Sport","Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,David Huddleston,Philip Seymour Hoffman,Tara Reid,Philip Moon,Mark Pellegrino,Peter Stormare,Flea,Torsten Voges,Jimmie Dale Gilmore,Jack Kehler,John Turturro,James G. Hoosier,Carlos Leon,Terrence Burton",English,United States,
Jeux dangereux,"May 21, 1947 (France)",Tous publics,1h 39m,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War","Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,Lionel Atwill,Stanley Ridges,Sig Ruman,Tom Dugan,Charles Halton,George Lynn,Henry Victor,Maude Eburne,Halliwell Hobbes,Miles Mander,Rudolph Anders,Paul Barrett,Sven Hugo Borg,Danny Borzage",English,United States,Original title: To Be or Not to Be
12 Years a Slave,"January 22, 2014 (France)",Tous publics avec avertissement,2h 14m,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography,Drama,History","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,Dwight Henry,Dickie Gravois,Bryan Batt,Ashley Dyke,Kelsey Scott,Quvenzhané Wallis,Cameron Zeigler,Tony Bentley,Scoot McNairy,Taran Killam,Christopher Berry,Bill Camp,Mister Mackey Jr.,Chris Chalk",English,United States,
Le Mans '66,"November 13, 2019 (France)",Tous publics,2h 32m,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action,Biography,Drama","Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,Josh Lucas,Noah Jupe,Tracy Letts,Remo Girone,Ray McKinnon,JJ Feild,Jack McMullen,Corrado Invernizzi,Joe Williamson,Ian Harding,Christopher Darga,Shawn Law,Emil Beheshti,Darrin Prescott",English,United States,Original title: Ford v Ferrari
La passion de Jeanne d'Arc,"October 25, 1928 (France)",Not Rated,1h 50m,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History","Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,Antonin Artaud,Michel Simon,Jean d'Yd,Louis Ravet,Armand Lurville,Jacques Arnna,Alexandre Mihalesco,Léon Larive,Jean Aymé,Gilbert Dacheux,Gilbert Dalleu,Paul Delauzac,Dimitri Dimitriev,Fournez-Goffard",None,France,
Andhadhun,"October 5, 2018 (India)",Not Rated,2h 19m,8.2,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Crime,Drama,Music","Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,Manav Vij,Ashwini Kalsekar,Chhaya Kadam,Zakir Hussain,Rashmi Agdekar,Abhishek Shukla,Mohini Kewalramani,Nikitasha Kapoor,Saumin Patel,Hera Sajid,Abhishek Anand,Vishal Bajaj,Yogesh Chandekar,Rahul Gajjal",Hindi,India,
Tu ne tueras point,"November 9, 2016 (France)",12,2h 19m,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Biography,Drama,History","Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,Richard Pyros,Jacob Warner,Milo Gibson,Darcy Bryce,Roman Guerriero,James Lugton,Kasia Stelmach,Hugo Weaving,Rachel Griffiths,Jarin Towney,Tim McGarry,Tyler Coppin,Richard Platt,Nathaniel Buzolic",English,Australia,Original title: Hacksaw Ridge
96,"October 4, 2018 (France)",Tous Public,2h 38m,8.6,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,"Drama,Romance","Vijay Sethupathi,Adithya Bhaskar,Trisha Krishnan,Gouri Kishan,Devadarshini Chetan,Niyathi Kadambi,Janakaraj,Bagavathi Perumal,Surya,Rajkumar,Murugadass,Gowthamraj,Varsha Bollamma,Kavithalaya Krishnan,Shyam Prasad",Tamil,India,
Gone Girl,"October 8, 2014 (France)",Tous publics avec avertissement,2h 29m,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama,Mystery,Thriller","Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon,Kim Dickens,Patrick Fugit,David Clennon,Lisa Banes,Missi Pyle,Emily Ratajkowski,Casey Wilson,Lola Kirke,Boyd Holbrook,Sela Ward,Lee Norris,Jamie McShane,Leonard Kelly-Young",English,United States,
Room,"March 9, 2016 (France)",Tous publics,1h 58m,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Drama,Thriller","Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,Sandy McMaster,Matt Gordon,Amanda Brugel,Joe Pingue,Joan Allen,Zarrin Darnell-Martin,Cas Anvar,William H. Macy,Jee-Yun Lee,Randal Edwards,Justin Mader,Ola Sturik,Rodrigo Fernandez-Stoll,Rory O'Shea",English,Canada,
Au nom du père,"March 9, 1994 (France)",Tous publics,2h 13m,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography,Crime,Drama","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,Emma Thompson,Nye Heron,Anthony Brophy,Frankie McCafferty,Paul Warriner,Julian Walsh,Stuart Wolfenden,Jo Connor,Karen Carlisle,Seamus Moran,Billy Byrne,Maureen McBride,Jane Nolan,Laurence Griffin",English,Ireland,Original title: In the Name of the Father
Arrête-moi si tu peux,"February 12, 2003 (France)",Tous publics,2h 21m,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama","Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye,Amy Adams,James Brolin,Brian Howe,Frank John Hughes,Steve Eastin,Chris Ellis,John Finn,Jennifer Garner,Nancy Lenehan,Ellen Pompeo,Elizabeth Banks,Guy Thauvette,Candice Azzara",English,United States,Original title: Catch Me If You Can
Mr. Smith au sénat,"January 19, 1940 (France)",(Banned),2h 9m,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","Comedy,Drama","James Stewart,Jean Arthur,Claude Rains,Edward Arnold,Guy Kibbee,Thomas Mitchell,Eugene Pallette,Beulah Bondi,H.B. Warner,Harry Carey,Astrid Allwyn,Ruth Donnelly,Grant Mitchell,Porter Hall,H.V. Kaltenborn,Charles Lane,Pierre Watkin,Dick Elliott",English,United States,Original title: Mr. Smith Goes to Washington
Barry Lyndon,"September 8, 1976 (France)",Tous publics,3h 5m,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,History","Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Steven Berkoff,Gay Hamilton,Marie Kean,Diana Körner,Murray Melvin,Frank Middlemass,André Morell,Arthur O'Sullivan,Godfrey Quigley,Leonard Rossiter,Philip Stone,Leon Vitali,John Bindon,Roger Booth",English,United Kingdom,
Before Sunrise,"March 29, 1995 (France)",Tous publics,1h 41m,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance","Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger,Tex Rubinowitz,Erni Mangold,Dominik Castell,Haymon Maria Buttinger,Harald Waiglein,Bilge Jeschim,Kurti,Hans Weingartner,Liese Lyon,Peter Ily Huemer,Otto Reiter,Hubert Fabian Kulterer,Branko Andric",English,United States,
Sherlock Junior,"October 28, 1924 (France)",Tous publics,45m,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action,Comedy,Romance","Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Ward Crane,Jane Connelly,George Davis,Doris Deane,Christine Francis,Betsy Ann Hisle,Kewpie Morgan,Steve Murphy,John Patrick,Ford West",None,United States,Original title: Sherlock Jr.
Mary et Max.,"September 30, 2009 (France)",Tous Public,1h 32m,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Animation,Comedy,Drama","Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,Christopher Massey,Oliver Marks,Daisy Kocher,Daniel Marks,Hamish Hughes,Dan Doherty,Julie Forsyth,Mandy Mao,Patrick McCabe,Adam Elliot,Mr. Peck,Michael James Allen,Bill Murphy,Shaun Patten",English,Australia,Original title: Mary and Max.
Gran Torino,"February 25, 2009 (France)",Tous publics,1h 56m,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Drama,"Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,Brian Haley,Geraldine Hughes,Dreama Walker,Brian Howe,John Carroll Lynch,William Hill,Brooke Chia Thao,Chee Thao,Choua Kue,Scott Eastwood,Xia Soua Chang,Sonny Vue,Doua Moua,Greg Trzaskoma",English,Germany,
The Grand Budapest hotel,"February 26, 2014 (France)",Tous publics,1h 39m,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure,Comedy,Crime","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,Willem Dafoe,Jeff Goldblum,Harvey Keitel,Jude Law,Bill Murray,Edward Norton,Saoirse Ronan,Jason Schwartzman,Léa Seydoux,Tilda Swinton,Tom Wilkinson,Owen Wilson,Tony Revolori,Larry Pine",English,United States,Original title: The Grand Budapest Hotel
Prisoners,"October 9, 2013 (France)",12,2h 33m,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery","Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,Maria Bello,Terrence Howard,Paul Dano,Dylan Minnette,Zoë Soul,Erin Gerasimovich,Kyla-Drew,Wayne Duvall,Len Cariou,David Dastmalchian,Brad James,Anthony Reynolds,Robert C. Treveiler,Sandra Ellis Lafferty",English,United States,
Le mécano de la Générale,"February 24, 1927 (France)",Tous publics,1h 7m,8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Action,Adventure,Comedy","Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Frank Barnes,Charles Henry Smith,Joe Keaton,Mike Donlin,Tom Nawn,Henry Baird,Joe Bricher,Jimmy Bryant,Sergeant Bukowski,C.C. Cruson,Jack Dempster,Keith Fennell,Budd Fine",English,United States,Original title: The General
Z,"February 26, 1969 (France)",Tous publics,2h 7m,8.2,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,"Crime,Drama,History","Yves Montand,Irene Papas,Jean-Louis Trintignant,François Périer,Jacques Perrin,Charles Denner,Pierre Dux,Georges Géret,Bernard Fresson,Marcel Bozzuffi,Julien Guiomar,Magali Noël,Renato Salvatori,Habib Reda,Clotilde Joano,Maurice Baquet,Sid Ahmed Agoumi,Allel El Mouhib",French,France,
Les Nouveaux Sauvages,"January 14, 2015 (France)",Tous publics avec avertissement,2h 2m,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy,Drama,Thriller","Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,Marcelo Frasca,Lucila Mangone,María Laura Caccamo,Carlos Alberto Vavassori,Pablo Machado,Horacio Vay,Javier Pedersoli,Héctor Drachtman,María Rosa López Ottonello,Rita Cortese,Julieta Zylberberg,César Bordón,Juan Santiago Linari,Leonardo Sbaraglia",Spanish,Argentina,Original title: Relatos salvajes
Persona,"December 21, 1966 (France)",Tous publics,1h 25m,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller","Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,Jörgen Lindström",Swedish,Sweden,
Voyage au bout de l'enfer,"March 7, 1979 (France)",12,3h 3m,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama,War","Robert De Niro,Christopher Walken,John Cazale,John Savage,Meryl Streep,George Dzundza,Chuck Aspegren,Shirley Stoler,Rutanya Alda,Pierre Segui,Mady Kaplan,Amy Wright,Mary Ann Haenel,Richard Kuss,Joe Grifasi,Christopher Colombi Jr.,Victoria Karnafel,Jack Scardino",English,United States,Original title: The Deer Hunter
Stalker,"November 18, 1981 (France)",Tous publics,2h 42m,8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Drama,Sci-Fi","Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,Natalya Abramova,Faime Jurno,E. Kostin,Raymo Rendi,Sergey Yakovlev,Vladimir Zamanskiy",Russian,Soviet Union,
Mon père et mon fils,"May 3, 2006 (France)",Tous Public,1h 52m,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family","Eser Sariyar,Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,Serif Sezer,Yetkin Dikinciler,Binnur Kaya,Mahmut Gökgöz,Nergis Çorakçi,Bilge Sen,Tuba Büyüküstün,Özge Özberk,Erdal Tosun,Halit Ergenç,Tugyan Akay Kavukçu,Ege Kaya,Muzaffer Demirel",Turkish,Turkey,Original title: Babam ve Oglum
Voyage à Tokyo,"February 8, 1978 (France)",Tous publics,2h 16m,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,Haruko Sugimura,Kuniko Miyake,Kyôko Kagawa,Eijirô Tôno,Nobuo Nakamura,Shirô Ôsaka,Hisao Toake,Teruko Nagaoka,Mutsuko Sakura,Toyo Takahashi,Tôru Abe,Sachiko Mitani,Zen Murase,Mitsuhiro Môri",Japanese,Japan,Original title: Tôkyô monogatari
Sur les quais...,"January 14, 1955 (France)",Tous publics,1h 48m,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","Crime,Drama,Thriller","Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Pat Henning,Leif Erickson,James Westerfield,Tony Galento,Tami Mauriello,John F. Hamilton,John Heldabrand,Rudy Bond,Don Blackman,Arthur Keegan,Abe Simon,Eva Marie Saint,Martin Balsam,Dan Bergin",English,United States,Original title: On the Waterfront
Le Monde de Nemo,"November 26, 2003 (France)",Tous publics,1h 40m,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy","Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Allison Janney,Austin Pendleton,Stephen Root,Vicki Lewis,Joe Ranft,Geoffrey Rush,Andrew Stanton,Elizabeth Perkins,Nicholas Bird,Bob Peterson,Barry Humphries,Eric Bana,Bruce Spence",English,United States,Original title: Finding Nemo
Kill Bill: Volume I,"November 26, 2003 (France)",16,1h 51m,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Drama","Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Lucy Liu,Vivica A. Fox,Julie Dreyfus,Chiaki Kuriyama,Shin'ichi Chiba,Chia-Hui Liu,Michael Parks,Michael Bowen,Jun Kunimura,Kenji Ohba,Yuki Kazamatsuri,James Parks,Sakichi Sato,Jonathan Loughran",English,United States,Original title: Kill Bill: Vol. 1
Warrior,"September 14, 2011 (France)",Tous publics,2h 20m,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action,Drama,Sport","Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Frank Grillo,Kevin Dunn,Maximiliano Hernández,Bryan Callen,Sam Sheridan,Fernando Chien,Jake McLaughlin,Vanessa Martinez,Denzel Whitaker,Carlos Miranda,Nick Lehane,Laura Chinn,Capri Thomas,Lexi Cowan",English,United States,
Trainspotting,"June 19, 1996 (France)",16,1h 33m,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,Robert Carlyle,Kelly Macdonald,Peter Mullan,James Cosmo,Eileen Nicholas,Susan Vidler,Pauline Lynch,Shirley Henderson,Stuart McQuarrie,Irvine Welsh,Dale Winton,Keith Allen,Kevin Allen,Annie Louise Ross",English,United Kingdom,
Fargo,"September 4, 1996 (France)",12,1h 38m,8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime,Thriller","William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell,Tony Denman,Gary Houston,Sally Wingert,Kurt Schweickhardt,Larissa Kokernot,Melissa Peterman,Steve Reevis,Warren Keith,Steve Edelman,Sharon Anderson,Larry Brandenburg,James Gaulke",English,United States,
Le pont de la rivière Kwaï,"December 20, 1957 (France)",Tous publics,2h 41m,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure,Drama,War","William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald,Geoffrey Horne,André Morell,Peter Williams,John Boxer,Percy Herbert,Harold Goodwin,Ann Sears,Heihachirô Ôkawa,Keiichirô Katsumoto,M.R.B. Chakrabandhu,Vilaiwan Seeboonreaung,Ngamta Suphaphongs,Javanart Punynchoti",English,United Kingdom,Original title: The Bridge on the River Kwai
Vice-versa,"June 17, 2015 (France)",Tous publics,1h 35m,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation,Adventure,Comedy","Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling,Phyllis Smith,Richard Kind,Kaitlyn Dias,Diane Lane,Kyle MacLachlan,Paula Poundstone,Bobby Moynihan,Paula Pell,Dave Goelz,Frank Oz,Josh Cooley,Flea,John Ratzenberger,Carlos Alazraqui",English,United States,Original title: Inside Out
Blade Runner,"September 15, 1982 (France)",Tous publics avec avertissement,1h 57m,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Drama,Mystery,Sci-Fi","Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Morgan Paull,Kevin Thompson,John Edward Allen,Hy Pyke,Kimiko Hiroshige,Bob Okazaki,Carolyn DeMirjian",English,United States,
Memories of Murder,"June 23, 2004 (France)",Tous publics,2h 11m,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime,Drama,Mystery","Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,Byun Hee-Bong,Seo-hie Ko,Tae-ho Ryu,No-shik Park,Park Hae-il,Mi-seon Jeon,Young-hwa Seo,Woo Go-na,Ok-joo Lee,Jong-ryol Choi,Seung-mok Yoo,Hun-Kyung Lee,Hyeon-jong Sin,Jae-eung Lee",Korean,South Korea,Original title: Salinui chueok
V pour vendetta,"April 19, 2006 (France)",Tous publics avec avertissement,2h 12m,8.1,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.","Action,Drama,Sci-Fi","Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,Stephen Fry,John Hurt,Tim Pigott-Smith,Roger Allam,Ben Miles,Sinéad Cusack,Natasha Wightman,John Standing,Eddie Marsan,Clive Ashborn,Emma Field-Rayner,Ian Burfield,Mark Phoenix,Alister Mazzotti",English,United States,Original title: V for Vendetta
The Truman Show,"October 28, 1998 (France)",Tous publics,1h 43m,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy,Drama","Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,Natascha McElhone,Holland Taylor,Brian Delate,Blair Slater,Peter Krause,Heidi Schanz,Ron Taylor,Don Taylor,Ted Raymond,Judy Clayton,Fritz Dominique,Angel Schmiedt,Nastassja Schmiedt,Muriel Moore",English,United States,
Jurassic Park,"October 20, 1993 (France)",Tous publics,2h 7m,8.1,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action,Adventure,Sci-Fi","Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight,Gerald R. Molen,Miguel Sandoval,Cameron Thor,Christopher John Fields,Whit Hertford,Dean Cundey,Jophery C. Brown",English,United States,
La légende de Klaus,"November 15, 2019 (France)",7,1h 36m,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation,Adventure,Comedy","Jason Schwartzman,J.K. Simmons,Rashida Jones,Will Sasso,Neda Margrethe Labba,Sergio Pablos,Norm MacDonald,Joan Cusack,Evan Agos,Sky Alexis,Jaeden Bettencourt,Teddy Blum,Mila Brener,Sydney Brower,Finn Carr,Kendall Joy Hall,Hailey Hermida,Lexie Holland",English,Spain,Original title: Klaus
Les fraises sauvages,"April 17, 1959 (France)",Tous publics,1h 31m,8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama,Romance","Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,Jullan Kindahl,Folke Sundquist,Björn Bjelfvenstam,Naima Wifstrand,Gunnel Broström,Gertrud Fridh,Sif Ruud,Gunnar Sjöberg,Max von Sydow,Åke Fridell,Yngve Nordwall,Per Sjöstrand,Gio Petré,Gunnel Lindblom",Swedish,Sweden,Original title: Smultronstället
Le troisième homme,"October 12, 1949 (France)",Tous publics,1h 44m,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir,Mystery,Thriller","Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,Paul Hörbiger,Ernst Deutsch,Erich Ponto,Siegfried Breuer,Hedwig Bleibtreu,Bernard Lee,Wilfrid Hyde-White,Nelly Arno,Jack Arrow,Harold Ayer,Harry Belcher,Leo Bieber,Paul Birch,Martin Boddey",English,United Kingdom,Original title: The Third Man
